Word,ExpectedRate
at work,3.713699719
at worst,2.456105593
athenian,3
athletic,3.141047293
atlantic,3.090001739
atmospheric,3.571093368
atomic,4.485148584
atonal,2
atrocious,1.430203569
atrociously,1.423184935
attached,5
attempted,2.792840092
attendant,3.209370246
attended,3.735299775
attentional,4
attentive,3.822003603
attentively,4.328575234
attic,4.320261498
attired,3.350719146
attitudinal,2.783242162
attractive,3.285184946
attractively,3.688692258
attributable,2.967776365
atypical,3.004804797
atypically,3.199721887
au fait,4
au gratin,3.19490923
au jus,2.714194832
au naturel,4.485148584
auburn,4
audacious,2.646377168
audible,2.933285855
audibly,1.708233777
augmented,5
aural,4
auspicious,3.345078902
austere,3.691667136
australian,3.203675826
austrian,4.119805994
authentic,3.598355182
authentically,3.550076852
authoritative,2.486976142
autistic,3.333463112
autographed,4.894523353
automated,2.646377168
automatic,2.095867772
automatically,2.314274371
autonomous,4
auxiliary,1.796836686
available,2.684585255
avant-garde,4.113736257
average,2.283395612
averse,2.955961795
avid,2.723000554
avidly,5
avocado,3.333463112
avoidable,2.512701318
avowed,4.320261498
avuncular,4
awake,2.486976142
award-winning,2.667232341
aware,2.871960269
awash,2.37337366
away,3
away,2.822821221
awe-inspiring,3.43597006
awed,4.249080864
awesome,4.204692096
awful,1.496655786
awfully,2.278390062
awhile,2.809710696
awkward,2.620985637
awkwardly,2.039534653
awry,1.782694646
back and forth,2.159391583
back-to-back,3.184920765
back,2.865434091
back,3.004250139
backed,3
backhanded,3.760391657
backless,2.018466998
backward,2.360559022
backwards,3.06835552
bad,2.106453997
badly,1.865013915
baffled,3.760391657
baggy,5
bahamian,4
baked,2.823859717
balanced,3.796321164
bald-headed,2
bald,2.016125066
ball-shaped,5
balmy,3.712617282
balsamic,3.246058215
baltic,5
banal,2.591632732
bankrupt,1.914217644
barbecued,3.215690326
bare,2.079551554
barely,2.084002587
bargain-priced,2
baronial,3
baroque,4
barren,3.13867179
base,4.485148584
baseless,2
bashful,4
basic,2.431221132
basically,2.111857779
batter-fried,4
battered,2.187031654
bavarian,2.55865662
bc,2
beaded,5
bearable,1.990606231
beat-up,5
beat,3.849063119
beatable,3
beaten,4.075114017
beauteous,5
beautiful,3.714473296
beautifully,4.133031575
beefy,3.276920419
befitting,2.763857665
before christ,4.585657438
before long,3.403011642
before,2.965084531
beforehand,2.953563067
behind-the-scenes,4.653333396
behind,2.4046869
beholden,5
beige,2.19203952
belated,4.039197041
belatedly,3.043810208
belgian,3.474558971
believable,1.702265017
belligerent,1.399274906
beloved,3.659462457
below,1.901580668
bemused,3
bended,2.486976142
beneficent,4
beneficial,3.615930449
benevolent,4
benign,4
bent on,5
bent,2.471371129
bereft,2.979028708
bespoke,4.485148584
best of all,4.111568066
best-known,5
best,3.627307187
best,3.62082496
better off,1.786102527
better-known,4.00494835
