,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
162,32nd/a,3,0,2,4207700,OpenTable,4.75E-07,0.117391596
163,32nd/a,4,0.25,4,7789649,OpenTable,5.14E-07,0.126821791
164,32nd/a,5,0.5,22,8266564,OpenTable,2.66E-06,0.657278504
165,33rd/a,1,-0.5,0,699695,OpenTable,0,0
166,33rd/a,2,-0.25,0,2507147,OpenTable,0,0
167,33rd/a,3,0,4,4207700,OpenTable,9.51E-07,0.24247532
168,33rd/a,4,0.25,9,7789649,OpenTable,1.16E-06,0.294697831
169,33rd/a,5,0.5,15,8266564,OpenTable,1.81E-06,0.462826849
170,34th/a,1,-0.5,0,699695,OpenTable,0,0
171,34th/a,2,-0.25,6,2507147,OpenTable,2.39E-06,0.410640888
172,34th/a,3,0,1,4207700,OpenTable,2.38E-07,0.040779883
173,34th/a,4,0.25,7,7789649,OpenTable,8.99E-07,0.154195212
174,34th/a,5,0.5,19,8266564,OpenTable,2.30E-06,0.394384017
175,35th/a,1,-0.5,2,699695,OpenTable,2.86E-06,0.153356199
176,35th/a,2,-0.25,7,2507147,OpenTable,2.79E-06,0.149795357
177,35th/a,3,0,8,4207700,OpenTable,1.90E-06,0.102005909
178,35th/a,4,0.25,27,7789649,OpenTable,3.47E-06,0.185962761
179,35th/a,5,0.5,63,8266564,OpenTable,7.62E-06,0.408879774
180,36th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.21955577
181,36th/a,2,-0.25,1,2507147,OpenTable,3.99E-07,0.061273661
182,36th/a,3,0,1,4207700,OpenTable,2.38E-07,0.03650975
183,36th/a,4,0.25,12,7789649,OpenTable,1.54E-06,0.236655708
184,36th/a,5,0.5,24,8266564,OpenTable,2.90E-06,0.446005111
185,37th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.166540384
186,37th/a,2,-0.25,2,2507147,OpenTable,7.98E-07,0.092956236
187,37th/a,3,0,4,4207700,OpenTable,9.51E-07,0.110775458
188,37th/a,4,0.25,11,7789649,OpenTable,1.41E-06,0.164551986
189,37th/a,5,0.5,33,8266564,OpenTable,3.99E-06,0.465175936
190,38th/a,1,-0.5,0,699695,OpenTable,0,0
191,38th/a,2,-0.25,0,2507147,OpenTable,0,0
192,38th/a,3,0,1,4207700,OpenTable,2.38E-07,0.062459509
193,38th/a,4,0.25,8,7789649,OpenTable,1.03E-06,0.269907798
194,38th/a,5,0.5,21,8266564,OpenTable,2.54E-06,0.667632694
195,39th/a,1,-0.5,0,699695,OpenTable,0,0
196,39th/a,2,-0.25,2,2507147,OpenTable,7.98E-07,0.13127756
197,39th/a,3,0,1,4207700,OpenTable,2.38E-07,0.039110695
198,39th/a,4,0.25,11,7789649,OpenTable,1.41E-06,0.232388748
199,39th/a,5,0.5,30,8266564,OpenTable,3.63E-06,0.597222997
200,3rd/a,1,-0.5,23,699695,OpenTable,3.29E-05,0.255609031
201,3rd/a,2,-0.25,74,2507147,OpenTable,2.95E-05,0.22951393
202,3rd/a,3,0,92,4207700,OpenTable,2.19E-05,0.170020069
203,3rd/a,4,0.25,157,7789649,OpenTable,2.02E-05,0.156725221
204,3rd/a,5,0.5,200,8266564,OpenTable,2.42E-05,0.188131748
205,40th/a,1,-0.5,7,699695,OpenTable,1.00E-05,0.136732411
206,40th/a,2,-0.25,25,2507147,OpenTable,9.97E-06,0.136283228
207,40th/a,3,0,22,4207700,OpenTable,5.23E-06,0.071459523
208,40th/a,4,0.25,106,7789649,OpenTable,1.36E-05,0.185981685
209,40th/a,5,0.5,284,8266564,OpenTable,3.44E-05,0.469543151
210,43rd/a,1,-0.5,0,699695,OpenTable,0,0
211,43rd/a,2,-0.25,0,2507147,OpenTable,0,0
212,43rd/a,3,0,1,4207700,OpenTable,2.38E-07,0.150119682
213,43rd/a,4,0.25,2,7789649,OpenTable,2.57E-07,0.16217896
214,43rd/a,5,0.5,9,8266564,OpenTable,1.09E-06,0.687701358
215,44th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.275012591
216,44th/a,2,-0.25,2,2507147,OpenTable,7.98E-07,0.153501119
217,44th/a,3,0,0,4207700,OpenTable,0,0
218,44th/a,4,0.25,9,7789649,OpenTable,1.16E-06,0.222323806
219,44th/a,5,0.5,15,8266564,OpenTable,1.81E-06,0.349162484
220,45th/a,1,-0.5,3,699695,OpenTable,4.29E-06,0.373510942
221,45th/a,2,-0.25,3,2507147,OpenTable,1.20E-06,0.104239496
222,45th/a,3,0,5,4207700,OpenTable,1.19E-06,0.10351805
223,45th/a,4,0.25,12,7789649,OpenTable,1.54E-06,0.134200521
224,45th/a,5,0.5,27,8266564,OpenTable,3.27E-06,0.284530991
225,46th/a,1,-0.5,0,699695,OpenTable,0,0
226,46th/a,2,-0.25,0,2507147,OpenTable,0,0
227,46th/a,3,0,1,4207700,OpenTable,2.38E-07,0.077368269
228,46th/a,4,0.25,7,7789649,OpenTable,8.99E-07,0.292541713
229,46th/a,5,0.5,16,8266564,OpenTable,1.94E-06,0.630090018
230,47th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.325047242
231,47th/a,2,-0.25,1,2507147,OpenTable,3.99E-07,0.090714238
232,47th/a,3,0,2,4207700,OpenTable,4.75E-07,0.108103681
233,47th/a,4,0.25,5,7789649,OpenTable,6.42E-07,0.14598471
234,47th/a,5,0.5,12,8266564,OpenTable,1.45E-06,0.330150128
235,48th/a,1,-0.5,0,699695,OpenTable,0,0
236,48th/a,2,-0.25,1,2507147,OpenTable,3.99E-07,0.187305546
237,48th/a,3,0,0,4207700,OpenTable,0,0
