Word,ExpectedRate,avg
antiseptic,3.640956031,3.640956031
antisocial,3.495002888,3.495002888
antithetical,4.386034674,4.386034674
antithetically,3,3
antiviral,5,5
antsy,3.911726269,3.911726269
anxious,3.192662143,3.192662143
anxiously,2.931860395,2.931860395
any longer,2.654126767,2.654126767
any,1,1
anymore,2.484727844,2.484727844
anyway,2.958819541,2.958819541
anyways,2.721766649,2.721766649
anywhere,3.393228874,3.393228874
apart,3.033684171,3.033684171
apathetic,1.979916984,1.979916984
apathetically,5,5
apian,5,5
apiece,3.639023953,3.639023953
apocalyptic,2.829874367,2.829874367
apocryphal,1.616509622,1.616509622
apolitical,1.697155506,1.697155506
apologetic,2.636952116,2.636952116
apologetically,3.679274827,3.679274827
apoplectic,4.557034656,4.557034656
apostolic,5,5
appalled,1.55698504,1.55698504
appalling,2.276761757,2.276761757
appallingly,1.522438124,1.522438124
apparent,2.59045406,2.59045406
apparently,2.295739352,2.295739352
appealing,3.031593639,3.031593639
appealingly,3.753458102,3.753458102
appellate,5,5
appetizing,2.944828063,2.944828063
applicable,3.746860373,3.746860373
applied,3.159644795,3.159644795
appointed,2.394258351,2.394258351
appreciable,3.818375464,3.818375464
appreciably,5,5
appreciative,3.142186266,3.142186266
apprehensive,4.144964244,4.144964244
approachable,4.078370553,4.078370553
appropriate,3.086203849,3.086203849
appropriately,2.932549984,2.932549984
approved,5,5
approvingly,2.554986914,2.554986914
approximate,3.114027951,3.114027951
approximately,2.65047541,2.65047541
appurtenant,5,5
apropos,4.386034674,4.386034674
apt,3.417259028,3.417259028
aptly,3.280135237,3.280135237
aquatic,4.386034674,4.386034674
arabian,3.143112189,3.143112189
arabic,4.386034674,4.386034674
arable,4,4
arbitrarily,2.477041568,2.477041568
arbitrary,2.373039263,2.373039263
arcane,2.788860194,2.788860194
archaeological,1.442917783,1.442917783
archaic,2.211480646,2.211480646
arched,2.918209068,2.918209068
archeological,4,4
archetypal,4.278267563,4.278267563
archetypical,5,5
architectural,3.712794256,3.712794256
architecturally,3.740740016,3.740740016
archival,5,5
arctic,3.851923716,3.851923716
ardent,3.805478028,3.805478028
ardently,5,5
arduous,3.578868011,3.578868011
arduously,5,5
argentine,1.697155506,1.697155506
argentinian,4,4
arguable,5,5
arguably,4.0578652,4.0578652
argumentative,2.391207157,2.391207157
arid,3.541234481,3.541234481
aristocratic,3.493292551,3.493292551
aristotelian,4,4
armed,1.824883609,1.824883609
armenian,4,4
armored,2.537308972,2.537308972
armoured,5,5
aromatic,4.239183994,4.239183994
around the bend,2.918209068,2.918209068
around the clock,3.788999079,3.788999079
around-the-clock,3.541234481,3.541234481
around,2.869029235,2.869029235
arresting,4,4
arrogant,2.103070166,2.103070166
arrogantly,1.823663771,1.823663771
arterial,5,5
artesian,5,5
artful,4.265075685,4.265075685
artfully,4.27724475,4.27724475
arthritic,4.653531998,4.653531998
articulated,4.386034674,4.386034674
articulately,3.679274827,3.679274827
artificial,2.922907924,2.922907924
artificially,2.430151264,2.430151264
artistic,3.159955285,3.159955285
artistically,3.286851037,3.286851037
artless,1.381854225,1.381854225
as a group,2.714163149,2.714163149
as a matter of fact,3.075918933,3.075918933
as far as possible,4.557034656,4.557034656
as follows,2.765487776,2.765487776
as if by magic,5,5
as it is,3.277631146,3.277631146
as it were,2.437100056,2.437100056
as luck would have it,2.223408497,2.223408497
as much as possible,3.312332843,3.312332843
as needed,3.456207648,3.456207648
as required,2.724735979,2.724735979
as such,3.195653731,3.195653731
as the crow flies,2.72678161,2.72678161
as usual,3.304374091,3.304374091
as we say,4.715507074,4.715507074
as well,3.555597464,3.555597464
as yet,2.795983663,2.795983663
as,3.184764403,3.184764403
asap,4,4
ascetic,4,4
ascetically,5,5
asexual,1,1
ashamed,1.902646972,1.902646972
ashore,4,4
ashy,3,3
asian,2.935199686,2.935199686
aside,2.955956985,2.955956985
asinine,2.583542611,2.583542611
askew,1,1
asleep,2.654578485,2.684714525
assailable,1,1
assertive,3.055554323,3.055554323
assertively,3.889390775,3.889390775
assiduously,5,5
assigned,3.075834173,3.075834173
assistant,2,2
assistive,3.595995904,3.595995904
associate,3.395057717,3.395057717
associative,2.797946792,2.797946792
assorted,3.187305971,3.187305971
assumed,2.477406168,2.477406168
assuredly,3.138569151,3.138569151
asteroid,4.386034674,4.386034674
asthmatic,2.406964871,2.406964871
astonished,3.139011076,3.139011076
astonishing,3.790156329,3.790156329
astonishingly,3.018335373,3.018335373
astounded,3.031068212,3.031068212
astounding,3.311333558,3.311333558
astral,3.235136173,3.235136173
astray,2.89222074,2.89222074
astrological,5,5
astronomic,1.697155506,1.697155506
astronomical,2.72230443,2.72230443
astronomically,3.541321843,3.541321843
astute,2.868214417,2.868214417
astutely,2.768682371,2.768682371
asunder,5,5
asymmetric,4.557034656,4.557034656
asymmetrical,2,2
asymptotic,4,4
at a loss,3.604058446,3.604058446
at a low price,3.911726269,3.911726269
at a time,3.338108483,3.338108483
at all costs,1.55849202,1.55849202
at all,2.783467686,2.783467686
at any cost,1.989848167,1.989848167
at any expense,4,4
at any rate,3.222684021,3.222684021
at arm's length,3.438525424,3.438525424
at bay,3.475887157,3.475887157
at best,2.124747513,2.124747513
at bottom,3.581968913,3.581968913
at close range,1,1
at fault,1.774497123,1.774497123
at first blush,2.735904009,2.735904009
at first glance,2.737624366,2.737624366
at first hand,4.557034656,4.557034656
at first sight,3.278792503,3.278792503
at hand,3.054682322,3.054682322
at heart,3.691384562,3.691384562
at home,3.748967418,3.748967418
at large,3.083776601,3.083776601
at last,3.393038083,3.393038083
at least,2.769123754,2.769123754
at leisure,5,5
at length,3.17873804,3.17873804
at long last,3.694167667,3.694167667
at most,3.292374988,3.292374988
at odds,3.107317732,3.107317732
at once,3.340224979,3.340224979
at one time,2.7910132,2.7910132
at peace,3.671365798,3.671365798
at present,3.80337278,3.80337278
at random,2.751729174,2.751729174
at rest,4.041423157,4.041423157
at sea,3.575157005,3.575157005
at stake,3.338297459,3.338297459
at that place,2.205110347,2.205110347
at the best,3.236889841,3.236889841
at the least,2.60903581,2.60903581
at the most,2.863438905,2.863438905
at the ready,4.653531998,4.653531998
at the same time,3.315851589,3.315851589
at the worst,2.557576423,2.557576423
at times,3.367380322,3.367380322
at variance,2.697322922,2.697322922
at will,3.49038445,3.49038445
at work,3.575148075,3.575148075
at worst,2.023559536,2.023559536
atavistic,4.386034674,4.386034674
atheist,2.323205318,2.323205318
atheistic,2.488930381,2.488930381
athenian,4.386034674,4.386034674
athletic,3.229659209,3.229659209
atlantic,5,5
atmospheric,4.103415256,4.103415256
atomic,3.965762624,3.965762624
atrocious,1.659089013,1.659089013
atrociously,2.390906777,2.390906777
attached,3.770489631,3.770489631
attainable,3.895373332,3.895373332
attempted,4.557034656,4.557034656
attendant,2.704940052,2.704940052
attentive,3.866236499,3.866236499
attentively,4.485367641,4.485367641
attic,1.55698504,1.55698504
attired,4,4
attractive,3.341948252,3.341948252
attractively,4.0102618,4.0102618
attributable,3.094386385,3.094386385
atypical,2.777338861,2.777338861
atypically,2.323205318,2.323205318
au courant,4,4
au fait,5,5
au jus,4,4
audacious,3.202282859,3.202282859
audaciously,1.381854225,1.381854225
audible,3.202790153,3.202790153
audibly,3.889390775,3.889390775
audiovisual,5,5
