,Unnamed: 0,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities,ExpectedRate
95,95,22nd/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.141645211
96,96,22nd/a,2,-0.25,4,2507147,OpenTable,1.6e-06,0.134688453,4.141645211
97,97,22nd/a,3,0.0,7,4207700,OpenTable,1.66e-06,0.140444082,4.141645211
98,98,22nd/a,4,0.25,16,7789649,OpenTable,2.05e-06,0.173401266,4.141645211
99,99,22nd/a,5,0.5,54,8266564,OpenTable,6.53e-06,0.551466199,4.141645211
100,100,23rd/a,1,-0.5,0,699695,OpenTable,0.0,0.0,3.896704257
101,101,23rd/a,2,-0.25,6,2507147,OpenTable,2.39e-06,0.243579707,3.896704257
102,102,23rd/a,3,0.0,5,4207700,OpenTable,1.19e-06,0.120946941,3.896704257
103,103,23rd/a,4,0.25,10,7789649,OpenTable,1.28e-06,0.13066274,3.896704257
104,104,23rd/a,5,0.5,41,8266564,OpenTable,4.96e-06,0.504810612,3.896704257
105,105,24th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.08331272,3.781209992
106,106,24th/a,2,-0.25,5,2507147,OpenTable,1.99e-06,0.116254638,3.781209992
107,107,24th/a,3,0.0,11,4207700,OpenTable,2.61e-06,0.152394046,3.781209992
108,108,24th/a,4,0.25,31,7789649,OpenTable,3.98e-06,0.231987127,3.781209992
109,109,24th/a,5,0.5,59,8266564,OpenTable,7.14e-06,0.41605147,3.781209992
110,110,25th/a,1,-0.5,11,699695,OpenTable,1.57e-05,0.237951889,3.467641214
111,111,25th/a,2,-0.25,16,2507147,OpenTable,6.38e-06,0.096592949,3.467641214
112,112,25th/a,3,0.0,18,4207700,OpenTable,4.28e-06,0.064748987,3.467641214
113,113,25th/a,4,0.25,83,7789649,OpenTable,1.07e-05,0.161274404,3.467641214
114,114,25th/a,5,0.5,240,8266564,OpenTable,2.9e-05,0.43943177,3.467641214
115,115,26th/a,1,-0.5,2,699695,OpenTable,2.86e-06,0.209420401,3.453006517
116,116,26th/a,2,-0.25,5,2507147,OpenTable,1.99e-06,0.1461127,3.453006517
117,117,26th/a,3,0.0,4,4207700,OpenTable,9.51e-07,0.069648695,3.453006517
118,118,26th/a,4,0.25,14,7789649,OpenTable,1.8e-06,0.131676389,3.453006517
119,119,26th/a,5,0.5,50,8266564,OpenTable,6.05e-06,0.443141815,3.453006517
120,120,27th/a,1,-0.5,3,699695,OpenTable,4.29e-06,0.232603268,3.280874465
121,121,27th/a,2,-0.25,6,2507147,OpenTable,2.39e-06,0.129829917,3.280874465
122,122,27th/a,3,0.0,9,4207700,OpenTable,2.14e-06,0.116038223,3.280874465
123,123,27th/a,4,0.25,24,7789649,OpenTable,3.08e-06,0.167146266,3.280874465
124,124,27th/a,5,0.5,54,8266564,OpenTable,6.53e-06,0.354382326,3.280874465
125,125,28th/a,1,-0.5,1,699695,OpenTable,1.43e-06,0.091020253,3.666520293
126,126,28th/a,2,-0.25,7,2507147,OpenTable,2.79e-06,0.177813631,3.666520293
127,127,28th/a,3,0.0,9,4207700,OpenTable,2.14e-06,0.136221153,3.666520293
128,128,28th/a,4,0.25,20,7789649,OpenTable,2.57e-06,0.163515496,3.666520293
129,129,28th/a,5,0.5,56,8266564,OpenTable,6.77e-06,0.431429467,3.666520293
130,130,29th/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.12458498
131,131,29th/a,2,-0.25,5,2507147,OpenTable,1.99e-06,0.1438753,4.12458498
132,132,29th/a,3,0.0,7,4207700,OpenTable,1.66e-06,0.120018807,4.12458498
133,133,29th/a,4,0.25,22,7789649,OpenTable,2.82e-06,0.203751506,4.12458498
134,134,29th/a,5,0.5,61,8266564,OpenTable,7.38e-06,0.532354387,4.12458498
135,135,2d/a,1,-0.5,0,699695,OpenTable,0.0,0.0,3.519307285
136,136,2d/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,3.519307285
137,137,2d/a,3,0.0,1,4207700,OpenTable,2.38e-07,0.480692715,3.519307285
138,138,2d/a,4,0.25,2,7789649,OpenTable,2.57e-07,0.519307285,3.519307285
139,139,2d/a,5,0.5,0,8266564,OpenTable,0.0,0.0,3.519307285
140,140,2nd/a,1,-0.5,47,699695,OpenTable,6.72e-05,0.196423074,2.908759644
141,141,2nd/a,2,-0.25,208,2507147,OpenTable,8.3e-05,0.242597852,2.908759644
142,142,2nd/a,3,0.0,299,4207700,OpenTable,7.11e-05,0.207792484,2.908759644
143,143,2nd/a,4,0.25,432,7789649,OpenTable,5.55e-05,0.162169536,2.908759644
144,144,2nd/a,5,0.5,540,8266564,OpenTable,6.53e-05,0.191017054,2.908759644
145,145,3-dimensional/a,1,-0.5,0,699695,OpenTable,0.0,0.0,4.0
146,146,3-dimensional/a,2,-0.25,0,2507147,OpenTable,0.0,0.0,4.0
147,147,3-dimensional/a,3,0.0,0,4207700,OpenTable,0.0,0.0,4.0
148,148,3-dimensional/a,4,0.25,1,7789649,OpenTable,1.28e-07,1.0,4.0
149,149,3-dimensional/a,5,0.5,0,8266564,OpenTable,0.0,0.0,4.0
150,150,30th/a,1,-0.5,7,699695,OpenTable,1e-05,0.137479448,3.57210338
