Word,ExpectedRate,avg
all-time,3.66507992,3.66507992
all,5,4.115862261
alleged,1.94776508,1.94776508
allegedly,2.409349504,2.409349504
allergenic,5,5
allotted,2.818852991,2.818852991
allowable,3,3
alluring,4.146093012,4.146093012
almighty,2.646377168,2.646377168
almond-shaped,2.698129085,2.698129085
almost,2.526274808,2.526274808
aloft,2.37337366,2.37337366
alone,3.505545768,3.264778639
along,3.438179291,3.438179291
aloof,2.40113936,2.764844922
aloud,3.380779364,3.380779364
alphabetical,5,5
alphabetically,2,2
alpine,2.783242162,2.783242162
already,2.917415066,2.917415066
alright,2.37401256,2.460973361
alsatian,4.081276167,4.081276167
also known as,2.486976142,2.486976142
also,3.136214521,3.136214521
altered,2.229538678,2.229538678
alternate,2.497879634,2.497879634
alternately,3.301062003,3.301062003
alternative,2.646467517,2.646467517
alternatively,1.884572422,1.884572422
altogether,2.938908353,2.938908353
always,3.985550397,3.985550397
amateur,2.199518769,2.199518769
amateurish,2.002644029,2.002644029
amazing,4.251954166,4.251954166
amazingly,3.939945378,3.939945378
amber,5,5
ambient,3.372428782,3.372428782
ambiguous,1.973136076,1.973136076
ambiguously,3,3
ambitious,3.071328325,3.071328325
ambitiously,3.810376789,3.810376789
ambivalent,2.031526634,2.031526634
ambrosial,4.190661521,4.190661521
ameliorating,3,3
amenable,2.703070465,2.703070465
american,3.35210519,3.35210519
amiable,3.485932784,3.485932784
amiably,1.541570546,1.541570546
amicable,3.571169023,3.571169023
amicably,2,2
amiss,2.553419014,2.553419014
amok,2.486976142,2.486976142
amorous,3.350719146,3.350719146
ample,3.604838517,3.604838517
amply,4.177534576,4.177534576
amusing,3.118883284,3.118883284
amusingly,4.239024441,4.239024441
anachronous,4,4
anaemic,2,2
ancient,3.326451498,3.326451498
ancillary,3.447589599,3.447589599
and how,2.946829972,2.946829972
and so forth,3.866200925,3.866200925
and so on,2.509435427,2.509435427
and so,3.106199328,3.106199328
and then some,3.832423225,3.832423225
and then,2.336546224,2.336546224
andean,4.653333396,4.653333396
anemic,1.707604932,1.707604932
anew,1.869074287,1.869074287
angelic,4.208549836,4.208549836
angered,2.486976142,2.486976142
angled,2.646377168,2.646377168
angrily,1.358217521,1.358217521
angry,1.765015971,1.765015971
angular,4,4
animal,2.237207313,2.237207313
animated,3.65037317,3.65037317
annoyed,2.173731442,2.173731442
annoying,2.617438807,2.617438807
annoyingly,3.013644637,3.013644637
annual,4.131067685,4.131067685
annually,4.027373859,4.027373859
anomalous,4,4
anonymous,2.852020976,2.852020976
anonymously,2.698129085,2.698129085
anorexic,1.660202281,1.660202281
antebellum,4,4
anti,4.653333396,4.653333396
antibiotic,4.320261498,4.320261498
anticipated,3.155862158,3.155862158
anticipatory,3.755907946,3.755907946
anticlimactic,1.828238033,1.828238033
antiquated,1.610312902,1.610312902
antique,4.150947286,4.150947286
antiseptic,3.097499893,3.097499893
antisocial,4,4
antithetical,2,2
antsy,3.59918598,3.59918598
anxious,2.925633122,2.925633122
anxiously,2.613114536,2.613114536
any longer,2.031401004,2.031401004
any,5,3.940199597
anymore,2.310708714,2.310708714
anyplace,5,5
anyway,2.645784116,2.645784116
anyways,2.760261218,2.760261218
anywhere,3.357424193,3.357424193
apace,3,3
apart,2.749228599,2.749228599
apathetic,1.698814759,1.698814759
aphrodisiac,4.738693521,4.738693521
apiece,2.659706534,2.659706534
apologetic,2.308271947,2.308271947
apologetically,4.005345109,4.005345109
appallingly,1.441386304,1.441386304
apparent,2.524936719,2.524936719
apparently,2.153306565,2.153306565
appealing,3.126203382,3.126203382
appealingly,3.735299775,3.735299775
appetising,2.792840092,2.792840092
appetizing,2.464481153,2.464481153
applaudable,2,2
applicable,2.422201732,2.422201732
appreciable,4.55681825,4.55681825
appreciably,3.132673958,3.132673958
appreciative,3.906382581,3.906382581
apprehensive,4.168427065,4.168427065
approachable,3.918045474,3.918045474
appropriate,3.221307251,3.221307251
appropriately,3.399668767,3.399668767
approvingly,5,5
approximate,3.58834018,3.58834018
approximately,2.3397449,2.3397449
apt,2.415179572,2.415179572
aptly,3.628146538,3.628146538
aquatic,5,5
arabian,4.485148584,4.485148584
arabic,4.320261498,4.320261498
arbitrarily,3.27743112,3.27743112
arbitrary,1.797641566,1.797641566
arboreal,4,4
arcadian,4,4
archaeological,3,3
archaic,3,3
arched,4.414084574,4.414084574
archetypal,5,5
architectural,3.028885063,3.028885063
architecturally,2.599690083,2.599690083
arctic,3.05896794,3.05896794
ardent,4.485148584,4.485148584
arduous,2.676193028,2.676193028
argent,5,5
argentine,3.683933224,3.683933224
argentinian,3.639513426,3.639513426
arguably,3.48605126,3.48605126
argumentative,1.481727086,1.481727086
arid,5,5
armed,5,5
armenian,4.008921972,4.008921972
armored,1,1
aromatic,3.699529592,3.699529592
around the bend,3.674620964,3.674620964
around,2.806153345,2.806153345
arrayed,4,4
arresting,4.485148584,4.485148584
arrogant,1.831609863,1.831609863
arrogantly,1.657077088,1.657077088
artful,4.038636062,4.038636062
artfully,3.983247869,3.983247869
arthritic,5,5
articulately,3,3
artificial,2.289396386,2.289396386
artificially,2.569931947,2.569931947
artistic,3.830812237,3.830812237
artistically,4.371050323,4.371050323
artless,2,2
