,word,score
774,crooks,-1
775,crowded,-1
776,crowdedness,-1
777,crude,-1
778,cruel,-1
779,crueler,-1
780,cruelest,-1
781,cruelly,-1
782,cruelness,-1
783,cruelties,-1
784,cruelty,-1
785,crumble,-1
786,crumbling,-1
787,crummy,-1
788,crumple,-1
789,crumpled,-1
790,crumples,-1
791,crush,-1
792,crushed,-1
793,crushing,-1
794,cry,-1
795,culpable,-1
796,culprit,-1
797,cumbersome,-1
798,cunt,-1
799,cunts,-1
800,cuplrit,-1
801,curse,-1
802,cursed,-1
803,curses,-1
804,curt,-1
805,cuss,-1
806,cussed,-1
807,cutthroat,-1
808,cynical,-1
809,cynicism,-1
810,d*mn,-1
811,damage,-1
812,damaged,-1
813,damages,-1
814,damaging,-1
815,damn,-1
816,damnable,-1
817,damnably,-1
818,damnation,-1
819,damned,-1
820,damning,-1
821,damper,-1
822,danger,-1
823,dangerous,-1
824,dangerousness,-1
825,dark,-1
826,darken,-1
827,darkened,-1
828,darker,-1
829,darkness,-1
830,dastard,-1
831,dastardly,-1
832,daunt,-1
833,daunting,-1
834,dauntingly,-1
835,dawdle,-1
836,daze,-1
837,dazed,-1
838,dead,-1
839,deadbeat,-1
840,deadlock,-1
841,deadly,-1
842,deadweight,-1
843,deaf,-1
844,dearth,-1
845,death,-1
846,debacle,-1
847,debase,-1
848,debasement,-1
849,debaser,-1
850,debatable,-1
851,debauch,-1
852,debaucher,-1
853,debauchery,-1
854,debilitate,-1
855,debilitating,-1
856,debility,-1
857,debt,-1
858,debts,-1
859,decadence,-1
860,decadent,-1
861,decay,-1
862,decayed,-1
863,deceit,-1
864,deceitful,-1
865,deceitfully,-1
866,deceitfulness,-1
867,deceive,-1
868,deceiver,-1
869,deceivers,-1
870,deceiving,-1
871,deception,-1
872,deceptive,-1
873,deceptively,-1
874,declaim,-1
875,decline,-1
876,declines,-1
877,declining,-1
878,decrement,-1
879,decrepit,-1
880,decrepitude,-1
881,decry,-1
882,defamation,-1
883,defamations,-1
884,defamatory,-1
885,defame,-1
886,defect,-1
887,defective,-1
888,defects,-1
889,defensive,-1
890,defiance,-1
891,defiant,-1
892,defiantly,-1
893,deficiencies,-1
894,deficiency,-1
895,deficient,-1
896,defile,-1
897,defiler,-1
898,deform,-1
899,deformed,-1
900,defrauding,-1
901,defunct,-1
902,defy,-1
903,degenerate,-1
904,degenerately,-1
905,degeneration,-1
906,degradation,-1
907,degrade,-1
908,degrading,-1
909,degradingly,-1
910,dehumanization,-1
911,dehumanize,-1
912,deign,-1
913,deject,-1
914,dejected,-1
915,dejectedly,-1
916,dejection,-1
917,delay,-1
918,delayed,-1
919,delaying,-1
