,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
124,25th/a,5,0.5,6,16202230,Goodreads,3.70319394306e-07,0.221267372197
125,26th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
126,26th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
127,26th/a,3,0.0,2,6011388,Goodreads,3.32701865193e-07,0.290258887903
128,26th/a,4,0.25,2,10187257,Goodreads,1.96323701267e-07,0.171278568474
129,26th/a,5,0.5,10,16202230,Goodreads,6.17198990509e-07,0.538462543623
130,27th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
131,27th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
132,27th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.350249042514
133,27th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
134,27th/a,5,0.5,5,16202230,Goodreads,3.08599495255e-07,0.649750957486
135,28th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.441215956704
136,28th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
137,28th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
138,28th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
139,28th/a,5,0.5,6,16202230,Goodreads,3.70319394306e-07,0.558784043296
140,29th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
141,29th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
142,29th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
143,29th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
144,29th/a,5,0.5,5,16202230,Goodreads,3.08599495255e-07,1.0
145,2d/a,1,-0.5,4,3419923,Goodreads,1.16961697676e-06,0.340728125584
146,2d/a,2,-0.25,5,3912625,Goodreads,1.27791444363e-06,0.372276909182
147,2d/a,3,0.0,4,6011388,Goodreads,6.65403730386e-07,0.193842745374
148,2d/a,4,0.25,2,10187257,Goodreads,1.96323701267e-07,0.0571922330727
149,2d/a,5,0.5,2,16202230,Goodreads,1.23439798102e-07,0.0359599867867
150,2nd/a,1,-0.5,41,3419923,Goodreads,1.19885740118e-05,0.0956079814471
151,2nd/a,2,-0.25,76,3912625,Goodreads,1.94242995431e-05,0.154907336646
152,2nd/a,3,0.0,204,6011388,Goodreads,3.39355902497e-05,0.270633795129
153,2nd/a,4,0.25,308,10187257,Goodreads,3.02338499951e-05,0.241112693351
154,2nd/a,5,0.5,483,16202230,Goodreads,2.98107112416e-05,0.237738193426
155,3-dimensional/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
156,3-dimensional/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.224961354945
157,3-dimensional/a,3,0.0,3,6011388,Goodreads,4.9905279779e-07,0.43926099333
158,3-dimensional/a,4,0.25,2,10187257,Goodreads,1.96323701267e-07,0.172802045024
159,3-dimensional/a,5,0.5,3,16202230,Goodreads,1.85159697153e-07,0.162975606702
160,300th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
161,300th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.722506542963
162,300th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
163,300th/a,4,0.25,1,10187257,Goodreads,9.81618506336e-08,0.277493457037
164,300th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
165,30th/a,1,-0.5,2,3419923,Goodreads,5.84808488378e-07,0.475143215344
166,30th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
167,30th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.135156240992
168,30th/a,4,0.25,3,10187257,Goodreads,2.94485551901e-07,0.239262621496
169,30th/a,5,0.5,3,16202230,Goodreads,1.85159697153e-07,0.150437922167
170,31st/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
171,31st/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
172,31st/a,3,0.0,0,6011388,Goodreads,0.0,0.0
173,31st/a,4,0.25,0,10187257,Goodreads,0.0,0.0
174,31st/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,1.0
175,34th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
176,34th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
