Word,ExpectedRate,avg
all the time,2.987140164,2.987140164
all the way,2.716804817,2.716804817
all together,3.056500369,3.056500369
all told,3.064456878,3.064456878
all too,2.649693161,2.649693161
all-around,3.270140281,3.270140281
all-encompassing,3.160618595,3.160618595
all-important,3.260325435,3.260325435
all-inclusive,3.679274827,3.679274827
all-knowing,1.507299733,1.507299733
all-night,2.773291873,2.773291873
all-or-nothing,5,5
all-out,3.779014875,3.779014875
all-powerful,2.415852042,2.415852042
all-purpose,5,5
all-round,2.918209068,2.918209068
all-time,4.552236298,4.552236298
all,3.715093417,3.238278051
alleged,2.406444165,2.406444165
allegedly,2.297934561,2.297934561
allegoric,4.386034674,4.386034674
allegorical,2.816306593,2.816306593
allegorically,3.619574299,3.619574299
allelic,5,5
allergic,2.209388573,2.209388573
alliterative,3.371104373,3.371104373
allotted,2.870968241,2.870968241
allowable,2.554986914,2.554986914
alluring,3.011843411,3.011843411
allusive,3.326099916,3.326099916
almighty,2.26533216,2.26533216
almond-scented,2,2
almost,2.897537969,2.897537969
aloft,4.557034656,4.557034656
alone,2.718350956,2.810525803
along,2.810533213,2.810533213
aloof,3.000803628,3.426363672
aloud,3.175908827,3.175908827
alphabetical,5,5
already,2.876509893,2.876509893
alright,2.393198964,2.441776743
also known as,3.415438422,3.415438422
also,3.05159208,3.05159208
alterable,3,3
altered,2.982182234,2.982182234
alternate,2.980912592,2.980912592
alternately,2.759827818,2.759827818
alternative,3.135137633,3.135137633
alternatively,2.369035853,2.369035853
altogether,2.754574148,2.754574148
altruistic,2.81453871,2.81453871
altruistically,5,5
always,3.254476208,3.254476208
amateur,2.06419445,2.06419445
amateurish,1.84648568,1.84648568
amateurishly,1.466403084,1.466403084
amazing,4.009660181,4.009660181
amazingly,3.485322529,3.485322529
amber,2,2
ambient,5,5
ambiguous,2.935244562,2.935244562
ambiguously,2.505319502,2.505319502
ambitionless,1,1
ambitious,3.038641184,3.038641184
ambitiously,3.371104373,3.371104373
ambivalent,2.868995028,2.868995028
ambulatory,5,5
amenable,2.984041596,2.984041596
american,3.136529238,3.136529238
amiable,2.639077259,2.639077259
amiably,3,3
amicable,2.554986914,2.554986914
amicably,3.371104373,3.371104373
amino,4,4
amiss,2.876562441,2.876562441
amnesiac,1,1
amniotic,2.328259727,2.328259727
amok,3.170433286,3.170433286
amorous,3.139011076,3.139011076
amorphous,1.836724756,1.836724756
ample,3.192701022,3.192701022
amply,3.760492597,3.760492597
amuck,2.561580683,2.561580683
amusing,2.789395569,2.789395569
amusingly,3.702412472,3.702412472
anachronistic,2.544722586,2.544722586
anachronistically,2.394258351,2.394258351
anagogical,2.554986914,2.554986914
anal retentive,3,3
anal,1.951491132,1.951491132
analogous,2.325409741,2.325409741
analytic,3.070723314,3.070723314
analytical,3.190304522,3.190304522
analytically,5,5
anarchic,2.72678161,2.72678161
anarchistic,5,5
anatomical,2.984041596,2.984041596
anatomically,3.312963962,3.312963962
ancestral,3.677360493,3.677360493
ancient,3.106538737,3.106538737
anciently,4.194875882,4.194875882
ancillary,2.750593637,2.750593637
and how,3.242403789,3.242403789
and so forth,2.681993079,2.681993079
and so on,2.696927663,2.696927663
and so,3.070939055,3.070939055
and then some,2.845384799,2.845384799
and then,2.670845936,2.670845936
andalusian,3.255912482,3.255912482
androgynous,3.851923716,3.851923716
anecdotal,2.716605467,2.716605467
anemic,1.583286911,1.583286911
anesthetic,1.94274604,1.94274604
anew,3.300904095,3.300904095
angelic,2.043412021,2.043412021
angelically,2.394258351,2.394258351
angered,2.755275972,2.755275972
anglican,3.541234481,3.541234481
angrily,1.815399849,1.815399849
angry,2.51850924,2.51850924
anguished,2.890930665,2.890930665
angular,2.322197275,2.322197275
animal,3.158589023,3.158589023
animalistic,2.922634851,2.922634851
animated,3.065345927,3.065345927
animatedly,5,5
animistic,4.557034656,4.557034656
annihilated,1,1
annoyed,2.458449096,2.458449096
annoying,2.203408964,2.203408964
annoyingly,2.308670715,2.308670715
annual,4.108379093,4.108379093
annually,5,5
anodyne,1,1
anomalous,4.386034674,4.386034674
anon,5,5
anonymous,2.559960619,2.559960619
anonymously,3.003972999,3.003972999
anorexic,2,2
antagonistic,3.136695908,3.136695908
