Word,Rating,Category,Count,Total,Corpus
35th/a,3,0,0,6011388,Goodreads
35th/a,4,0.25,2,10187257,Goodreads
35th/a,5,0.5,1,16202230,Goodreads
36th/a,1,-0.5,0,3419923,Goodreads
36th/a,2,-0.25,0,3912625,Goodreads
36th/a,3,0,0,6011388,Goodreads
36th/a,4,0.25,0,10187257,Goodreads
36th/a,5,0.5,2,16202230,Goodreads
38th/a,1,-0.5,0,3419923,Goodreads
38th/a,2,-0.25,0,3912625,Goodreads
38th/a,3,0,0,6011388,Goodreads
38th/a,4,0.25,1,10187257,Goodreads
38th/a,5,0.5,0,16202230,Goodreads
39th/a,1,-0.5,0,3419923,Goodreads
39th/a,2,-0.25,0,3912625,Goodreads
39th/a,3,0,0,6011388,Goodreads
39th/a,4,0.25,0,10187257,Goodreads
39th/a,5,0.5,1,16202230,Goodreads
3rd/a,1,-0.5,24,3419923,Goodreads
3rd/a,2,-0.25,40,3912625,Goodreads
3rd/a,3,0,86,6011388,Goodreads
3rd/a,4,0.25,113,10187257,Goodreads
3rd/a,5,0.5,205,16202230,Goodreads
400th/a,1,-0.5,0,3419923,Goodreads
400th/a,2,-0.25,1,3912625,Goodreads
400th/a,3,0,0,6011388,Goodreads
400th/a,4,0.25,0,10187257,Goodreads
400th/a,5,0.5,0,16202230,Goodreads
40th/a,1,-0.5,1,3419923,Goodreads
40th/a,2,-0.25,0,3912625,Goodreads
40th/a,3,0,0,6011388,Goodreads
40th/a,4,0.25,1,10187257,Goodreads
40th/a,5,0.5,2,16202230,Goodreads
44th/a,1,-0.5,0,3419923,Goodreads
44th/a,2,-0.25,0,3912625,Goodreads
44th/a,3,0,0,6011388,Goodreads
44th/a,4,0.25,0,10187257,Goodreads
44th/a,5,0.5,1,16202230,Goodreads
45th/a,1,-0.5,0,3419923,Goodreads
45th/a,2,-0.25,0,3912625,Goodreads
45th/a,3,0,0,6011388,Goodreads
45th/a,4,0.25,0,10187257,Goodreads
45th/a,5,0.5,1,16202230,Goodreads
46th/a,1,-0.5,0,3419923,Goodreads
46th/a,2,-0.25,0,3912625,Goodreads
46th/a,3,0,0,6011388,Goodreads
46th/a,4,0.25,0,10187257,Goodreads
46th/a,5,0.5,1,16202230,Goodreads
47th/a,1,-0.5,0,3419923,Goodreads
47th/a,2,-0.25,0,3912625,Goodreads
47th/a,3,0,1,6011388,Goodreads
47th/a,4,0.25,0,10187257,Goodreads
47th/a,5,0.5,0,16202230,Goodreads
49th/a,1,-0.5,1,3419923,Goodreads
49th/a,2,-0.25,1,3912625,Goodreads
49th/a,3,0,0,6011388,Goodreads
49th/a,4,0.25,0,10187257,Goodreads
49th/a,5,0.5,0,16202230,Goodreads
4th/a,1,-0.5,56,3419923,Goodreads
4th/a,2,-0.25,88,3912625,Goodreads
4th/a,3,0,181,6011388,Goodreads
4th/a,4,0.25,254,10187257,Goodreads
4th/a,5,0.5,513,16202230,Goodreads
500th/a,1,-0.5,3,3419923,Goodreads
500th/a,2,-0.25,0,3912625,Goodreads
500th/a,3,0,1,6011388,Goodreads
500th/a,4,0.25,0,10187257,Goodreads
500th/a,5,0.5,0,16202230,Goodreads
50th/a,1,-0.5,3,3419923,Goodreads
50th/a,2,-0.25,3,3912625,Goodreads
50th/a,3,0,4,6011388,Goodreads
50th/a,4,0.25,7,10187257,Goodreads
50th/a,5,0.5,9,16202230,Goodreads
5th/a,1,-0.5,24,3419923,Goodreads
5th/a,2,-0.25,18,3912625,Goodreads
5th/a,3,0,43,6011388,Goodreads
5th/a,4,0.25,80,10187257,Goodreads
5th/a,5,0.5,158,16202230,Goodreads
60th/a,1,-0.5,0,3419923,Goodreads
60th/a,2,-0.25,0,3912625,Goodreads
60th/a,3,0,0,6011388,Goodreads
60th/a,4,0.25,0,10187257,Goodreads
60th/a,5,0.5,1,16202230,Goodreads
6th/a,1,-0.5,18,3419923,Goodreads
6th/a,2,-0.25,18,3912625,Goodreads
6th/a,3,0,42,6011388,Goodreads
6th/a,4,0.25,47,10187257,Goodreads
6th/a,5,0.5,119,16202230,Goodreads
75th/a,1,-0.5,0,3419923,Goodreads
75th/a,2,-0.25,1,3912625,Goodreads
75th/a,3,0,0,6011388,Goodreads
75th/a,4,0.25,0,10187257,Goodreads
75th/a,5,0.5,0,16202230,Goodreads
7th/a,1,-0.5,21,3419923,Goodreads
7th/a,2,-0.25,42,3912625,Goodreads
7th/a,3,0,49,6011388,Goodreads
7th/a,4,0.25,76,10187257,Goodreads
7th/a,5,0.5,112,16202230,Goodreads
85th/a,1,-0.5,1,3419923,Goodreads
85th/a,2,-0.25,1,3912625,Goodreads
85th/a,3,0,0,6011388,Goodreads
85th/a,4,0.25,1,10187257,Goodreads
85th/a,5,0.5,0,16202230,Goodreads
8th/a,1,-0.5,52,3419923,Goodreads
8th/a,2,-0.25,36,3912625,Goodreads
8th/a,3,0,86,6011388,Goodreads
8th/a,4,0.25,105,10187257,Goodreads
8th/a,5,0.5,126,16202230,Goodreads
9th/a,1,-0.5,13,3419923,Goodreads
9th/a,2,-0.25,29,3912625,Goodreads
9th/a,3,0,40,6011388,Goodreads
9th/a,4,0.25,58,10187257,Goodreads
9th/a,5,0.5,71,16202230,Goodreads
a bit/r,1,-0.5,453,3419923,Goodreads
a bit/r,2,-0.25,1766,3912625,Goodreads
a bit/r,3,0,4496,6011388,Goodreads
a bit/r,4,0.25,4577,10187257,Goodreads
a bit/r,5,0.5,2626,16202230,Goodreads
a couple of/a,1,-0.5,127,3419923,Goodreads
a couple of/a,2,-0.25,212,3912625,Goodreads
a couple of/a,3,0,347,6011388,Goodreads
