Word,ExpectedRate
AVISO,1
avoid,-1
avoided,-1
avoids,-1
AVOND,1
AVONDJE,2
AVRIL,2
await,-1
awaited,-1
awaits,-1
AWAK,0
AWAKE,0
AWAL,1
award,3
awarded,3
awards,3
AWARE,1
AWAS,1
AWAY,0
AWE,1
awesome,4
AWESOMENESS,2
awful,-3
AWH,1
AWHH,1
AWHILE,1
awkward,-2
AWSOME,2
AWW,1
AWWH,1
AWWW,1
axe,-1
axed,-1
AXIS,1
AYA,1
AYAH,1
AYAM,1
AYE,2
AYEE,3
AYEEE,3
AYER,0
AYO,1
AYOK,1
AYOO,1
AYOOO,1
AYU,1
AYUDA,1
AYY,0
AYYY,0
B/C,0
BAB,1
BABE,1
BABES,1
BABI,1
BABIES,1
BABY,1
BABYSITTING,1
BABYYY,1
BAC,1
BACA,1
backed,1
BACKGROUND,2
backing,2
BACKK,2
backs,1
BACON,1
bad,-3
BADAN,-1
badass,-3
badly,-3
BAE,1
BAEK,2
BAG,1
BAGAIMANA,1
BAGI,2
BAGIAN,1
BAGS,1
BAGUS,2
BAH,0
BAHAGIA,2
BAHAHA,2
BAHASA,1
BAIK,2
BAIK2,2
BAIKLAH,2
bailout,-2
BAJU,1
BAK,1
BAKALAN,0
BAKAR,1
BAKE,2
BAKED,2
BAKING,2
BAKSO,1
BALANCE,1
BALAS,0
BALES,0
BALI,1
BALIK,0
BALL,1
BALLET,1
BALLS,1
BAM,1
bamboozle,-2
bamboozled,-2
bamboozles,-2
ban,-2
BANA,1
BANANA,2
BAND,2
BANDA,1
BANDS,1
BANDUNG,1
BANG,1
BANGEEET,0
BANGET,0
BANGGA,2
BANHO,2
banish,-1
BANK,1
bankrupt,-3
bankster,-3
banned,-2
BANTU,1
BANTUIN,0
BANYAK,1
BAPAK,1
BAR,1
BARBIE,1
BARCA,1
BARCELONA,1
BARE,0
BARELY,-1
bargain,2
barrier,-2
BARS,1
BARU,1
BARUSAN,0
BAS,1
BASE,1
BASEBALL,2
BASED,1
BASICALLY,1
BASKET,1
BASKETBALL,1
BASS,2
BASTA,1
bastard,-5
bastards,-5
BAT,0
BATAL,-1
BATERIA,-1
BATH,1
BATHROOM,0
BATMAN,1
BATTERY,-1
battle,-1
battles,-1
BATU,0
BATUK,-1
BAU,0
BAWA,1
BAWAIN,1
BAY,1
BAYAR,1
BBALL,1
BBC,1
BBL,2
BBM,0
BBQ,1
BBY,1
BCK,1
BDAY,2
B'DAY,3
B-DAY,2
BDG,1
BEACH,1
BEAN,1
BEANS,2
BEAR,1
BEARD,1
BEARS,1
BEAST,2
BEASTLY,2
BEAT,1
beaten,-2
beatific,3
beating,-1
BEATLES,2
BEATS,1
beauties,3
beautiful,3
beautifully,3
beautify,3
BEAUTY,2
BEB,0
BEBAS,1
BEBE,0
BEBEB,0
BEBEK,1
BEBER,0
BEBERAPA,0
