status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22707976849_10153591612571850,"#RedBullXFighters athlete, Nick Franklin, meets #Intel technology.",,video,https://www.facebook.com/Intel/videos/10153591612571850/,2016-06-25 11:24:48,299,13,87,289,6,4,0,0,0
22707976849_10153589986556850,And we're off! Check out #Intel tech in action at this year's Red Bull X-Fighters event!,,video,https://www.facebook.com/Intel/videos/10153589986556850/,2016-06-24 17:21:28,7871,231,2164,7522,119,217,10,2,1
22707976849_10153589948941850,"Get into the action at Red Bull X-Fighters in Madrid, featuring #Intel tech for real-time performance feedback!",,video,https://www.facebook.com/Intel/videos/10153589948941850/,2016-06-24 17:04:33,336,7,77,318,10,6,2,0,0
22707976849_10153589701556850,Turn up the tech! Learn how music festivals like Coachella are using VR to transform how we experience music: http://intel.ly/28SxLjZ,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153589701556850/?type=3,2016-06-24 15:00:12,100,6,1,99,1,0,0,0,0
22707976849_10153589654601850,#VividSydney has been amazing and Sydney Opera House has never looked more beautiful. What were your favourite moments? #IntelAtVivid,,video,https://www.facebook.com/Intel/videos/10153589654601850/,2016-06-24 14:37:56,831,25,94,799,22,9,0,0,1
22707976849_10153589476616850,We're gearing up to bring #Intel tech to Red Bull X-Fighters today in Madrid! Check it out!,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153589474331850/?type=3,2016-06-24 13:07:28,6902,25,116,6834,42,23,2,0,1
22707976849_10153589224391850,Intel has teamed up with #redbullxfighters to bring real-time stats to competition. Take a behind the scenes look at how the tech test went prior to the big event in Madrid.,Intel and Red Bull X-Fighters,video,https://www.facebook.com/Intel/videos/10153589224391850/,2016-06-24 11:04:17,213,4,34,208,5,0,0,0,0
22707976849_10153587137646850,"Benchmarks will be broken on a new Expert Mode: Rig Wars! Three master modders have 30 minutes to overclock an Intel Core i7 – but when the pressure's on, who will rise up and who will burn out? Find out now: http://bit.ly/290r8Je",,video,https://www.facebook.com/Intel/videos/10153587137646850/,2016-06-23 15:15:06,1297,88,254,1241,27,26,3,0,0
22707976849_10153587121221850,"Pro drone racers Rotor Riot dish about collision-avoidance technology, livestreaming video and their passion for flying robots: http://intel.ly/28QATZG",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153587121221850/?type=3,2016-06-23 15:00:12,174,6,19,170,3,0,1,0,0
22707976849_10153586882056850,Curious to know how #Intel tech is impacting the #RedBullXFighters event? Read more here: http://win.gs/28TBlcJ,New High-Tech Tools capture FMX Trick Movements | Red Bull X-Fighters,link,http://win.gs/28TBlcJ,2016-06-23 13:01:35,346,1,5,341,4,1,0,0,0
